cen_x,cen_y,xmin,ymin,xmax,ymax
1153,959,1052.4095,865.8877,1255.4146,1052.4677
1305,434,1270.3218,408.48752,1341.6486,460.86307
1411,545,1352.6055,499.66144,1470.6626,590.7247
1793,641,1699.069,564.11316,1887.747,718.6912
931,511,889.9132,477.61517,973.442,545.6963
1252,387,1227.0135,366.86145,1277.4509,408.26828
824,285,807.94305,274.29517,840.50073,297.42108
899,323,881.69336,309.37808,916.67896,337.44644
1467,487,1413.3346,441.18634,1522.6646,533.4281
773,302,755.0482,290.3288,791.599,314.47244
943,293,925.63385,280.49026,960.6843,305.92328
724,328,702.27374,316.5276,746.3589,340.7696
1467,487,1413.489,440.84952,1522.0762,533.70355
967,279,954.0228,266.74387,981.4896,292.7264
724,321,703.0014,307.3952,746.1268,336.4847
1252,261,1239.2506,250.82115,1264.8672,272.57434
1278,259,1259.4729,250.17648,1296.9777,268.52612
967,279,954.0228,266.74387,981.4896,292.7264
926,474,887.6215,443.7374,966.18286,505.1945
1011,660,954.01416,609.02954,1067.9952,711.8346
1603,561,1538.076,512.9731,1668.424,609.83344
1004,439,971.6032,414.31015,1038.3375,465.39642
965,364,940.3581,346.63974,991.3127,383.29315
976,328,956.29425,310.9326,996.7899,346.7901
1259,374,1231.1792,350.85883,1287.6501,398.7419
889,380,862.779,356.32648,916.49054,405.6218
903,326,883.75806,311.38995,922.3407,341.78088
993,286,979.84973,273.37628,1007.52997,298.91492
1517,246,1490.1985,226.00844,1544.7312,266.22205
1272,304,1258.2769,294.12042,1287.3809,315.3787
851,277,833.13763,264.91977,869.7271,290.47208
914,297,897.94556,282.91388,930.26196,311.5602
1517,247,1490.104,226.78412,1544.6006,267.38986
1075,263,1059.3743,252.2735,1091.6135,275.00616
1415,227,1389.3613,214.90916,1442.1848,239.84445
975,280,963.4356,269.84067,987.4153,290.34357
985,282,964.4666,270.97656,1005.897,294.35773
1259,374,1231.2084,350.88748,1287.4266,399.07468
1423,229,1405.0106,216.52754,1442.6527,241.56172
1405,227,1370.4098,214.1346,1441.2544,240.9728
918,300,904.7848,287.8825,931.8146,313.1031
1016,268,1003.6132,259.26895,1028.4734,277.42377
598,440,562.6109,413.43677,634.74164,466.86893
460,614,405.41135,564.66376,516.51794,664.10425
656,366,630.2679,338.59854,682.50134,395.09998
1309,316,1284.5896,296.93503,1335.3176,337.00754
991,292,975.6184,279.98627,1007.5927,305.22287
1309,316,1284.5896,296.93503,1335.3176,337.00754
1150,310,1136.6869,298.00656,1163.8414,322.11813
